Unnamed: 0,year,log_gdp,social_s,life_ex,life_choices,generosity,corruption,positive_a,negative_a,population,spirit_c,wine_c,beer_c,forest_c,u_pop,age_dr,happiness_s
441,2016,9.355,0.842,67.9,0.846,-0.015,0.774,0.846,0.365,16491116.0,0.55,0.06,2.51,51.35653889515219,63.534,54.9684318998361,6.115
442,2017,9.36,0.849,68.2,0.879,-0.167,0.734,0.829,0.314,16785356.0,0.52,0.07,2.28,51.09776131422129,63.67,54.5899529995753,5.84
443,2018,9.355,0.851,68.5,0.869,-0.099,0.831,0.876,0.328,17084359.0,0.59,0.08,2.32,50.83898373329039,63.821,54.2873674589276,6.128
444,2019,9.339,0.808,68.8,0.83,-0.115,0.839,0.811,0.374,17373657.0,0.61,0.09,2.32,50.58020615235947,63.986,54.033766632388,5.809
445,2005,9.036,0.848,59.7,0.817,-0.0235,0.8045,0.735,0.346,75523576.0,0.04965,0.012,0.08461,0.0627103320106484,43.027,63.2379211925833,5.168
446,2007,9.135,0.686,59.82,0.609,-0.121,0.8045,0.665,0.355,78232124.0,0.05484,0.024,0.10749,0.0640022100557536,43.078,61.0347855951986,5.541
447,2008,9.186,0.738,59.88,0.76,-0.087,0.914,0.683,0.301,79636081.0,0.0586,0.036,0.11247,0.0646481490783063,43.058,60.2801316921858,4.632
448,2009,9.213,0.744,59.94,0.611,-0.1,0.801,0.642,0.339,81134789.0,0.05268,0.024,0.11056,0.0652940881008589,43.039,59.7943538708789,5.066
449,2010,9.244,0.769,60.0,0.486,-0.076,0.826,0.567,0.276,82761244.0,0.07,0.02,0.11,0.0659400271234115,43.019,59.6147009950118,4.669
450,2011,9.24,0.753,60.16,0.59,-0.151,0.859,0.529,0.353,84529251.0,0.06,0.01,0.11,0.0624802852981063,43.0,59.7643333294524,4.174
451,2012,9.24,0.737,60.32,0.452,-0.138,0.88,0.527,0.398,86422240.0,0.07,0.01,0.11,0.0590205434728012,42.946,60.3249782105042,4.204
452,2013,9.239,0.675,60.48,0.474,-0.141,0.913,0.551,0.483,88404652.0,0.06,0.01,0.11,0.0555608016474961,42.893,61.1096869974813,3.559
453,2014,9.245,0.619,60.64,0.578,-0.126,0.749,0.543,0.327,90424668.0,0.07,0.01,0.11,0.0521010598221909,42.839,61.8442041610248,4.885
454,2015,9.266,0.73,60.8,0.659,-0.089,0.684,0.61,0.344,92442549.0,0.06,0.01,0.11,0.0486413179968858,42.785,62.3790242438513,4.763
455,2016,9.287,0.809,61.1,0.656,-0.141,0.818,0.611,0.37,94447071.0,0.04,0.01,0.09,0.0479501732884625,42.732,63.3774838710113,4.557
456,2017,9.307,0.638,61.4,0.593,-0.152,0.8045,0.539,0.414,96442590.0,0.04,0.01,0.08,0.0472590285800391,42.705,63.8363135033409,3.929
457,2018,9.338,0.759,61.7,0.682,-0.215,0.8045,0.492,0.285,98423602.0,0.04,0.01,0.09,0.0465678838716158,42.704,64.0110540272506,4.005
458,2019,9.373,0.772,62.0,0.774,-0.199,0.8045,0.517,0.313,100388076.0,0.04,0.01,0.09,0.0458767391631925,42.73,64.233716501422,4.328
459,2006,8.873,0.878,62.92,0.683,-0.056,0.807,0.864,0.233,6079395.0,1.65861,0.0352,0.97146,31.22007722007722,62.187,68.3679892898458,5.701
460,2007,8.887,0.717,63.24,0.639,-0.015,0.785,0.869,0.22,6105810.0,1.68877,0.03812,0.99897,31.00289575289576,62.774,67.1016297431547,5.296
461,2008,8.908,0.747,63.56,0.636,-0.078,0.735,0.842,0.232,6131767.0,1.59477,0.0382,0.95487,30.785714285714285,63.678,65.8647312521369,5.191
462,2009,8.883,0.734,63.88,0.671,-0.103,0.648,0.85,0.243,6157678.0,1.52062,0.03879,0.91212,30.568532818532816,64.57,64.5607856572862,6.839
463,2010,8.9,0.757,64.2,0.669,-0.064,0.694,0.814,0.302,6183877.0,1.32,0.06,0.92,30.35135135135135,65.452,63.1693963694087,6.74
464,2011,8.933,0.731,64.4,0.747,-0.126,0.707,0.875,0.336,6210567.0,1.32,0.06,0.93,30.13416988416988,66.325,61.777330318628,4.741
465,2012,8.956,0.806,64.6,0.683,-0.155,0.786,0.831,0.365,6237922.0,1.35,0.06,1.0,29.916988416988417,67.187,60.2537065234453,5.934
466,2013,8.974,0.827,64.8,0.716,-0.15,0.772,0.828,0.317,6266076.0,1.25,0.05,1.04,29.699806949806952,68.036,58.7560125006809,6.325
467,2014,8.986,0.798,65.0,0.778,-0.194,0.781,0.837,0.33,6295124.0,1.32,0.05,1.07,29.48262548262548,68.874,57.496222166625,5.857
468,2015,9.005,0.791,65.2,0.733,-0.156,0.805,0.826,0.333,6325121.0,1.32,0.05,1.16,29.26544401544401,69.7,56.5634473299698,6.018
469,2016,9.025,0.794,65.5,0.8,-0.185,0.797,0.761,0.346,6356137.0,1.32,0.05,1.26,29.04826254826255,70.501,55.7100455312229,6.14
470,2017,9.042,0.829,65.8,0.758,-0.172,0.778,0.849,0.268,6388124.0,1.37,0.05,1.38,28.831081081081084,71.275,55.1598263351246,6.339
471,2018,9.061,0.82,66.1,0.863,-0.095,0.801,0.86,0.27,6420740.0,1.38,0.05,1.5,28.61389961389961,72.023,54.8447185346336,6.241
472,2019,9.08,0.764,66.4,0.877,-0.109,0.682,0.871,0.271,6453550.0,1.37,0.06,1.5,28.396718146718147,72.746,54.6264913248346,6.455
473,2006,10.27,0.91,64.86,0.749,-0.264,0.797,0.655,0.215,1349373.0,7.87,1.44,6.5,52.84490453186105,68.607,47.062324130905,5.371
474,2007,10.347,0.896,65.32,0.712,-0.246,0.743,0.666,0.176,1344295.0,8.36052,1.25933,5.85062,53.06834598573729,68.479,47.2365418280139,5.332
475,2008,10.298,0.904,65.78,0.642,-0.217,0.663,0.597,0.218,1340067.0,7.68619,1.51618,5.37419,53.29178743961352,68.351,47.4901882055502,5.452
476,2009,10.144,0.874,66.24,0.611,-0.23,0.793,0.598,0.243,1336140.0,6.5177,1.38457,5.07324,53.51522889348976,68.223,47.9021296780657,5.138
477,2011,10.248,0.909,66.96,0.735,-0.168,0.687,0.651,0.205,1327701.0,6.55,1.85,5.98,54.12969864274212,67.965,49.42764611656,5.487
478,2012,10.282,0.889,67.22,0.697,-0.192,0.793,0.647,0.199,1323163.0,6.75,2.01,6.19,54.52072693811824,67.974,50.4063496756366,5.364
479,2013,10.299,0.901,67.48,0.754,-0.201,0.726,0.702,0.199,1319068.0,7.09,2.18,6.38,54.91175523349436,68.122,51.4449339409525,5.367
480,2014,10.331,0.917,67.74,0.773,-0.153,0.652,0.68,0.203,1316273.0,6.77,2.18,6.14,55.30278352887049,68.269,52.5543989137625,5.556
481,2015,10.348,0.918,68.0,0.815,-0.164,0.569,0.723,0.183,1315330.0,6.47,2.25,6.0,55.69381182424661,68.416,53.7337592138741,5.629
482,2016,10.374,0.938,68.2,0.843,-0.149,0.639,0.726,0.177,1316507.0,5.97,2.35,5.69,55.77382102599493,68.563,54.294371695363,5.65
483,2017,10.429,0.936,68.4,0.862,-0.101,0.668,0.805,0.16,1319389.0,4.64,2.17,4.93,55.85383022774327,68.717,55.1231614681643,5.938
484,2018,10.472,0.933,68.6,0.886,-0.141,0.621,0.795,0.163,1322913.0,4.32,1.9,3.61,55.933839429491606,68.88,56.2096175751875,6.091
485,2019,10.511,0.934,68.8,0.887,-0.096,0.576,0.804,0.156,1325649.0,4.6,1.92,4.0,56.01384863123994,69.051,57.369042762128,6.035
486,2012,7.271,0.659,55.2,0.776,-0.044,0.8045,0.668,0.137,92726982.0,0.11,0.0,0.41,15.631641413672112,18.16,89.4983437718514,4.561
487,2013,7.343,0.602,55.8,0.707,-0.008,0.75,0.643,0.213,95385793.0,0.12,0.0,0.43,15.56699845526973,18.575,87.6224335122647,4.445
488,2014,7.413,0.64,56.4,0.694,0.08,0.702,0.738,0.303,98094264.0,0.13,0.01,0.5,15.502355496867343,18.998,85.7530832459555,4.507
489,2015,7.484,0.626,57.0,0.803,0.113,0.567,0.714,0.237,100835453.0,0.15,0.01,0.59,15.437712538464964,19.428,83.9197245763655,4.573
490,2016,7.547,0.719,57.5,0.744,0.038,0.703,0.727,0.254,103603461.0,0.15,0.0,0.77,15.37306958006258,19.866,82.4609800152022,4.298
491,2017,7.612,0.734,58.0,0.717,0.001,0.757,0.609,0.304,106399926.0,0.16,0.0,0.84,15.308426621660198,20.31,80.9582316477187,4.18
492,2018,7.651,0.74,58.5,0.74,0.039,0.799,0.66,0.272,109224410.0,0.17,0.0,0.92,15.243783663257815,20.763,79.4820264520059,4.379
493,2019,7.705,0.748,59.0,0.754,0.053,0.732,0.631,0.283,112078727.0,0.2,0.0,0.92,15.179140704855431,21.225,78.1043242673315,4.1
494,2006,10.745,0.965,69.76,0.969,-0.005,0.132,0.722,0.172,5277490.0,2.86,1.55,4.57,73.45175046064755,83.037,50.1416522667071,7.672
495,2008,10.796,0.951,70.08,0.934,0.028,0.217,0.773,0.144,5319452.0,1.75,1.85,4.62,73.31774151092392,83.299,50.0792708158271,7.671
496,2010,10.734,0.935,70.4,0.916,0.091,0.413,0.832,0.202,5365784.0,1.5,1.86,4.47,73.18373256120032,83.77,50.9483114065022,7.393
497,2011,10.754,0.938,70.64,0.936,0.101,0.32,0.773,0.205,5390036.0,1.44,1.89,4.61,73.29362990260594,84.313,52.0227198730612,7.354
498,2012,10.735,0.928,70.88,0.921,-0.001,0.361,0.796,0.202,5414769.0,1.38,1.89,4.27,73.40352724401158,84.841,53.3793360570073,7.42
499,2013,10.722,0.941,71.12,0.919,0.04,0.306,0.769,0.195,5438984.0,1.3,1.84,4.28,73.51342458541723,85.125,54.9243789106929,7.445
500,2014,10.714,0.952,71.36,0.933,-0.001,0.265,0.784,0.199,5461410.0,1.24,1.8,4.17,73.62332192682284,85.175,56.4570350782054,7.385
501,2015,10.716,0.948,71.6,0.93,0.111,0.223,0.751,0.191,5481128.0,1.18,1.75,4.13,73.73321926822848,85.225,57.8258663019847,7.448
502,2016,10.74,0.954,71.7,0.948,-0.027,0.25,0.797,0.182,5497714.0,1.15,1.74,4.11,73.73321926822848,85.275,59.0452543455019,7.66
503,2017,10.768,0.964,71.8,0.962,-0.002,0.192,0.787,0.176,5511372.0,1.14,1.75,4.04,73.73321926822848,85.325,60.0766175741488,7.788
504,2018,10.783,0.962,71.9,0.938,-0.127,0.199,0.782,0.182,5522585.0,1.1,1.72,3.97,73.73321926822848,85.382,60.9423994855002,7.858
505,2019,10.792,0.937,72.0,0.948,-0.052,0.195,0.755,0.181,5532159.0,1.96,1.59,3.76,73.73321926822848,85.446,61.6997312816716,7.78
506,2005,10.642,0.94,71.3,0.895,-0.0235,0.688,0.769,0.225,61120128.0,2.62,7.65,2.31,28.95315008300506,77.13,53.7649081441228,7.093
507,2006,10.659,0.944,71.48,0.789,0.126,0.699,0.777,0.289,61508924.0,2.7,7.75,2.4,29.1597039212356,77.377,53.8319068565788,6.583
508,2008,10.674,0.935,71.84,0.833,-0.031,0.669,0.746,0.281,62209207.0,2.72,7.33,2.18,29.57281159769668,77.868,53.936706275182,7.008
509,2009,10.639,0.918,72.02,0.798,-0.082,0.654,0.763,0.303,62542883.0,2.7,7.41,2.25,29.77936543592721,78.117,54.168921271061,6.283
510,2010,10.654,0.943,72.2,0.85,-0.104,0.623,0.79,0.261,62879535.0,2.65,7.27,2.18,29.98591927415776,78.369,54.6309024611084,6.798
511,2011,10.671,0.921,72.4,0.903,-0.102,0.627,0.781,0.281,63222229.0,2.64,7.41,2.1,30.1382321840466,78.622,55.335246770792,6.959
512,2012,10.669,0.937,72.6,0.841,-0.149,0.608,0.754,0.253,63564224.0,2.54,7.33,2.15,30.290545093935428,78.878,56.259374161109,6.649
513,2013,10.669,0.908,72.8,0.878,-0.125,0.699,0.8,0.205,63893521.0,2.5,7.13,1.8,30.442858003824263,79.135,57.3243500610907,6.667
514,2014,10.674,0.878,73.0,0.803,-0.118,0.656,0.811,0.216,64193550.0,2.47,7.04,2.26,30.59517091371309,79.394,58.3809916442838,6.467
515,2015,10.682,0.896,73.2,0.817,-0.139,0.641,0.786,0.215,64453194.0,2.42,7.09,2.16,30.74748382360193,79.655,59.3207259286048,6.358
516,2016,10.69,0.885,73.4,0.787,-0.091,0.623,0.773,0.27,64667590.0,2.43,6.9,2.21,30.899796733490764,79.917,60.0759551102856,6.475
517,2017,10.711,0.931,73.6,0.834,-0.123,0.601,0.762,0.242,64842513.0,2.41,6.79,2.3,31.052109643379595,80.18,60.716985653615,6.635
518,2018,10.727,0.921,73.8,0.816,-0.138,0.582,0.767,0.282,64990512.0,2.35,6.29,2.43,31.20442255326843,80.444,61.2671445356188,6.666
519,2019,10.74,0.958,74.0,0.827,-0.133,0.568,0.735,0.25,65129731.0,2.3,6.44,2.52,31.35673546315726,80.709,61.7953546501292,6.69
520,2011,9.608,0.653,55.48,0.772,-0.211,0.851,0.591,0.264,1684629.0,1.48,1.11,5.35,91.7356618931191,86.092,69.8183903921098,4.255
521,2012,9.621,0.736,56.16,0.566,-0.195,0.81,0.47,0.266,1749677.0,1.2,0.88,5.29,91.68954864749486,86.634,68.7330150923381,3.972
522,2013,9.638,0.733,56.84,0.682,-0.146,0.78,0.51,0.287,1817070.0,1.16,0.74,5.56,91.6434354018706,87.156,67.8333885982988,3.8
523,2014,9.644,0.829,57.52,0.607,-0.198,0.782,0.539,0.293,1883801.0,1.03,0.68,6.41,91.59732215624636,87.651,67.1240885496373,3.918
524,2015,9.649,0.756,58.2,0.671,-0.194,0.867,0.626,0.372,1947690.0,0.93,0.68,6.37,91.55120891062212,88.118,66.5541306119447,4.661
525,2016,9.639,0.78,58.7,0.699,-0.204,0.817,0.64,0.432,2007882.0,0.79,0.69,5.86,91.5051034268638,88.559,67.2086000946017,4.832
526,2017,9.616,0.807,59.2,0.652,-0.228,0.868,0.634,0.446,2064812.0,0.7,0.65,5.63,91.45899794310552,88.976,67.8043182867285,4.782
527,2018,9.599,0.785,59.7,0.719,-0.197,0.823,0.641,0.418,2119275.0,0.67,0.64,5.31,91.41289245934723,89.37,68.3212000006354,4.783
528,2019,9.607,0.763,60.2,0.736,-0.203,0.846,0.693,0.413,2172578.0,0.5,0.62,5.31,91.36678697558894,89.741,68.7031715057567,4.914
529,2017,7.637,0.697,54.7,0.812,0.111,0.572,0.838,0.277,2213900.0,0.02,0.0,0.14,25.67905138339921,60.599,88.6531990261851,4.118
530,2018,7.671,0.685,55.0,0.719,0.44,0.691,0.804,0.379,2280092.0,0.02,0.0,0.21,25.112450592885377,61.27,88.1776391261647,4.922
531,2019,7.699,0.694,55.3,0.677,0.41,0.798,0.773,0.401,2347696.0,0.02,0.0,0.21,24.545849802371546,61.931,87.5752135461484,5.164
532,2006,8.993,0.647,65.12,0.553,-0.267,0.752,0.433,0.269,4189721.0,1.95537,2.8601,0.87627,40.26018132105339,53.992,49.8305868779449,3.675
533,2007,9.117,0.548,65.04,0.464,-0.267,0.697,0.427,0.236,4166859.0,2.08889,3.7047,1.09031,40.34911498057275,54.379,49.1215132200855,3.707
534,2008,9.144,0.608,64.96,0.614,-0.224,0.498,0.441,0.262,4142648.0,2.09433,3.98316,1.18769,40.4380486400921,54.765,48.3985579868886,4.156
535,2009,9.116,0.544,64.88,0.495,-0.233,0.535,0.492,0.242,4119490.0,2.07453,3.27704,0.90305,40.526982299611454,55.15,47.8176810674256,3.801
536,2010,9.184,0.54,64.8,0.558,-0.248,0.46,0.502,0.243,4099095.0,3.03,3.22,1.47,40.61591595913081,55.535,47.4836185354363,4.102
537,2011,9.263,0.503,64.86,0.632,-0.255,0.353,0.515,0.247,4081012.0,3.04,3.25,1.99,40.61591595913081,55.919,47.6806713570874,4.203
538,2012,9.332,0.533,64.92,0.659,-0.269,0.321,0.559,0.25,4064097.0,3.12,2.81,1.3,40.61591595913081,56.303,48.0144788376601,4.254
539,2013,9.371,0.559,64.98,0.722,-0.254,0.349,0.595,0.2,4048701.0,3.05,2.32,1.38,40.61591595913081,56.685,48.501668895589,4.349
540,2014,9.414,0.558,65.04,0.72,-0.233,0.416,0.57,0.204,4035310.0,3.06,2.04,1.38,40.61591595913081,57.067,49.1533811020161,4.288
541,2015,9.442,0.517,65.1,0.64,-0.205,0.502,0.547,0.233,4024180.0,2.95,2.59,1.39,40.61591595913081,57.448,49.9593831389708,4.122
542,2016,9.47,0.533,64.9,0.606,-0.249,0.561,0.564,0.223,4015457.0,2.74,2.71,1.38,40.61591595913081,57.837,50.9402827995528,4.448
543,2017,9.517,0.59,64.7,0.821,-0.244,0.59,0.581,0.21,4008723.0,2.6,2.66,1.6,40.61591595913081,58.231,51.9817948182743,4.451
544,2018,9.565,0.617,64.5,0.775,-0.233,0.755,0.573,0.244,4002946.0,2.58,2.94,1.71,40.61591595913081,58.632,53.0473120045998,4.659
545,2019,9.617,0.675,64.3,0.811,-0.26,0.647,0.604,0.244,3996762.0,2.52,3.19,1.71,40.61591595913081,59.039,54.0653689291761,4.892
546,2005,10.689,0.963,70.2,0.847,-0.0235,0.781,0.776,0.197,81602739.0,2.28789,3.13079,6.62283,32.57721040730458,75.98,49.8912304037017,6.62
547,2007,10.759,0.926,70.48,0.801,0.167,0.792,0.732,0.231,81277836.0,2.16131,3.24197,6.48394,32.608695652173914,76.378,50.8030262315896,6.417
548,2008,10.77,0.923,70.62,0.766,-0.0235,0.758,0.787,0.22,81065751.0,2.15792,3.23688,6.35388,32.62443827460858,76.575,51.2010395606892,6.522
549,2009,10.714,0.935,70.76,0.844,0.127,0.69,0.792,0.206,80899961.0,2.15362,3.11079,6.34122,32.640180897043244,76.771,51.5319812559294,6.641
550,2010,10.756,0.939,70.9,0.843,0.095,0.688,0.794,0.182,80827001.0,2.15,3.22,6.21,32.65592351947792,76.966,51.7937457997838,6.725
551,2011,10.813,0.947,70.98,0.906,0.033,0.677,0.794,0.165,80855629.0,2.08,3.24,6.01,32.66164810945416,77.16,52.0097511222545,6.621
552,2012,10.816,0.926,71.06,0.904,0.071,0.679,0.804,0.17,80972629.0,2.08,3.23,6.01,32.6673726994304,77.17,52.0953973406867,6.702
553,2013,10.817,0.931,71.14,0.894,0.024,0.566,0.743,0.205,81174373.0,2.08,3.12,5.88,32.67309728940664,77.18,52.1320952080022,6.965
554,2014,10.835,0.938,71.22,0.899,0.088,0.474,0.785,0.188,81450370.0,2.07,3.11,5.88,32.678821879382895,77.19,52.2446834584225,6.984
555,2015,10.844,0.926,71.3,0.889,0.178,0.412,0.765,0.203,81787411.0,2.07,3.11,5.88,32.684546469359134,77.2,52.5216312802673,7.037
556,2016,10.858,0.906,71.6,0.871,0.148,0.446,0.738,0.187,82193770.0,2.08,3.11,5.77,32.684546469359134,77.224,52.9145728699203,6.874
557,2017,10.878,0.892,71.9,0.841,0.145,0.414,0.737,0.196,82658409.0,2.08,3.12,5.66,32.684546469359134,77.261,53.4264177539329,7.074
558,2018,10.89,0.92,72.2,0.877,0.034,0.496,0.78,0.243,83124413.0,2.08,3.13,5.67,32.684546469359134,77.312,54.0428361206484,7.118
559,2019,10.893,0.886,72.5,0.885,0.057,0.462,0.751,0.226,83517046.0,1.97,3.02,5.57,32.684546469359134,77.376,54.7089085937167,7.035
560,2006,8.073,0.728,52.34,0.849,0.213,0.814,0.671,0.198,22379057.0,0.05104,0.10877,0.49224,36.499964841346575,47.988,76.5431272879884,4.535
561,2007,8.09,0.73,52.78,0.891,0.138,0.771,0.686,0.217,22963946.0,0.04557,0.13854,0.48279,36.101933725938295,48.669,75.5637122928756,5.22
562,2008,8.152,0.622,53.22,0.838,0.12,0.863,0.717,0.172,23563832.0,0.03988,0.15411,0.48534,35.703902610530015,49.351,74.6300923054531,4.965
563,2009,8.174,0.633,53.66,0.757,0.005,0.89,0.774,0.198,24170943.0,0.03516,0.12164,0.4689,35.305871495121735,50.031,73.7056487563031,4.198
564,2010,8.225,0.739,54.1,0.891,0.074,0.875,0.783,0.184,24779614.0,0.35,0.07,0.47,34.907840379713456,50.713,72.784581964272,4.606
565,2011,8.332,0.724,54.48,0.852,0.011,0.79,0.744,0.209,25387713.0,0.37,0.08,0.47,34.85291377340248,51.394,72.28773870601,5.608
566,2012,8.397,0.685,54.86,0.679,0.04,0.898,0.76,0.152,25996454.0,0.4,0.09,0.43,34.7979871670915,52.073,71.7731141182995,5.057
567,2013,8.445,0.676,55.24,0.794,-0.065,0.88,0.691,0.211,26607641.0,0.43,0.08,0.42,34.74306056078052,52.748,71.2347538647397,4.965
568,2014,8.45,0.651,55.62,0.677,0.001,0.913,0.696,0.28,27224480.0,0.56,0.06,0.46,34.68813395446955,53.419,70.6633367090528,3.86
569,2015,8.449,0.687,56.0,0.852,-0.038,0.945,0.69,0.265,27849203.0,0.53,0.04,0.47,34.633207348158564,54.086,70.0550395680857,3.986
570,2016,8.46,0.647,56.4,0.751,0.09,0.894,0.668,0.305,28481947.0,0.45,0.04,0.48,34.725736134306054,54.749,69.6450622247477,4.514
571,2017,8.517,0.669,56.8,0.783,0.079,0.839,0.703,0.248,29121464.0,0.41,0.05,0.48,34.81826492045355,55.407,69.118425670236,5.481
572,2018,8.555,0.761,57.2,0.817,0.062,0.846,0.747,0.25,29767108.0,0.39,0.06,0.53,34.910793706601034,56.06,68.5344727529092,5.004
573,2019,8.596,0.746,57.6,0.787,0.116,0.857,0.682,0.27,30417858.0,0.39,0.05,0.53,35.00332249274853,56.707,67.9605082792085,4.967
574,2005,10.462,0.837,70.5,0.734,-0.0235,0.861,0.692,0.264,11224800.0,2.22893,4.56002,2.18068,29.100204034134983,74.452,48.4596082329162,6.006
575,2007,10.543,0.808,70.9,0.575,-0.19,0.845,0.738,0.222,11120371.0,2.221,4.16825,2.3421,29.568122575640025,75.199,49.9431562253128,6.647
576,2009,10.491,0.793,71.3,0.443,-0.293,0.959,0.649,0.254,10959268.0,2.13484,3.80824,2.22502,30.036041117145075,75.932,51.2545378334588,6.039
577,2010,10.433,0.868,71.5,0.484,-0.303,0.954,0.634,0.292,10887640.0,1.9,4.0,2.31,30.27,76.292,51.991352297526,5.84
578,2011,10.339,0.852,71.56,0.528,-0.316,0.941,0.591,0.323,10829074.0,1.68,3.53,2.18,30.27,76.649,52.5494605428365,5.372
579,2012,10.268,0.812,71.62,0.373,-0.305,0.959,0.581,0.352,10781119.0,1.54,3.8,2.18,30.27,77.004,53.1024032964183,5.096
580,2013,10.243,0.687,71.68,0.426,-0.272,0.941,0.689,0.482,10740501.0,1.55,3.72,2.19,30.27,77.355,53.6547619798312,4.72
581,2014,10.257,0.832,71.74,0.369,-0.288,0.93,0.695,0.385,10701460.0,1.54,3.29,2.15,30.27,77.702,54.2089432132799,4.756
582,2015,10.259,0.835,71.8,0.532,-0.272,0.824,0.74,0.277,10659737.0,1.48,3.01,2.1,30.27,78.046,54.7528925486277,5.623
583,2016,10.261,0.803,72.0,0.482,-0.26,0.898,0.701,0.336,10615183.0,1.47,2.96,2.15,30.26999534522886,78.387,55.0032630461071,5.303
584,2017,10.278,0.753,72.2,0.438,-0.29,0.872,0.603,0.333,10569449.0,1.52,3.0,2.05,30.26999069045772,78.724,55.2895315704161,5.148
585,2018,10.299,0.794,72.4,0.564,-0.335,0.86,0.666,0.255,10522244.0,1.48,2.75,2.13,30.26998603568658,79.058,55.5851598567029,5.409
586,2019,10.319,0.891,72.6,0.614,-0.289,0.848,0.668,0.236,10473452.0,1.45,2.66,2.13,30.26998138091544,79.388,55.8556594149239,5.952
587,2006,8.85,0.83,60.74,0.663,0.172,0.706,0.818,0.287,13397022.0,1.16487,0.11594,1.06777,36.55505785740948,47.21,85.1516003729002,5.901
588,2007,8.891,0.866,61.08,0.628,0.136,0.81,0.819,0.224,13700326.0,1.19658,0.11087,1.0497,36.10097051138485,47.508,83.3371287621678,6.33
589,2008,8.904,0.866,61.42,0.63,0.206,0.796,0.834,0.234,14006420.0,1.17256,0.03323,0.89265,35.64688316536021,47.807,81.3365236463541,6.414
590,2009,8.891,0.834,61.76,0.643,0.197,0.755,0.829,0.24,14316251.0,1.18529,0.0308,0.80589,35.19279581933558,48.104,79.3510194110269,6.452
591,2010,8.901,0.859,62.1,0.696,0.166,0.795,0.85,0.236,14630420.0,1.16,0.04,0.83,34.738708473310936,48.403,77.482756350282,6.29
592,2011,8.923,0.768,62.46,0.763,0.009,0.863,0.844,0.289,14948792.0,1.14,0.04,0.86,34.48338932437476,48.701,75.4502663074097,5.743
593,2012,8.935,0.802,62.82,0.865,0.02,0.821,0.863,0.349,15270774.0,0.94,0.04,0.93,34.2280701754386,49.0,73.6491476743761,5.856
594,2013,8.953,0.83,63.18,0.884,0.045,0.817,0.867,0.333,15595821.0,0.85,0.04,0.93,33.97275102650242,49.311,71.9924997273314,5.985
595,2014,8.98,0.834,63.54,0.843,0.108,0.804,0.835,0.305,15923238.0,0.7,0.04,0.94,33.717431877566256,49.634,70.3674121227947,6.536
596,2015,9.003,0.823,63.9,0.869,0.051,0.822,0.851,0.311,16252425.0,0.69,0.04,0.9,33.46211272863009,49.971,68.7450354499227,6.465
597,2016,9.013,0.811,64.2,0.863,0.011,0.812,0.846,0.321,16583079.0,0.65,0.04,0.91,33.3538633818589,50.319,67.3700123489088,6.359
598,2017,9.026,0.826,64.5,0.915,-0.059,0.8,0.846,0.308,16914979.0,0.66,0.04,0.9,33.24561403508772,50.68,65.9674317386831,6.325
599,2018,9.042,0.841,64.8,0.91,-0.01,0.765,0.871,0.262,17247855.0,0.68,0.05,0.9,33.13736468831653,51.054,64.6021935345889,6.627
600,2019,9.064,0.774,65.1,0.901,-0.062,0.773,0.859,0.311,17581476.0,0.68,0.05,0.9,33.02911534154535,51.439,63.3675023151236,6.262
601,2011,7.567,0.598,50.22,0.797,0.041,0.743,0.701,0.26,10420459.0,0.01,0.02,0.21,26.58717239133973,33.966,96.1080662168675,4.045
602,2012,7.603,0.542,50.44,0.646,0.001,0.794,0.677,0.285,10652032.0,0.01,0.01,0.22,26.440664170600687,34.255,95.1447001298884,3.652
603,2013,7.619,0.567,50.66,0.693,0.091,0.815,0.6,0.348,10892821.0,0.01,0.01,0.23,26.29415594986163,34.545,94.0833451374579,3.902
604,2014,7.632,0.638,50.88,0.684,0.006,0.705,0.629,0.351,11150970.0,0.01,0.01,0.3,26.147647729122586,34.836,93.0115646266746,3.412
605,2015,7.645,0.579,51.1,0.666,0.007,0.762,0.667,0.268,11432096.0,0.01,0.01,0.36,26.001139508383524,35.141,91.9882524060047,3.505
606,2016,7.721,0.675,52.2,0.726,-0.056,0.803,0.687,0.374,11738434.0,0.02,0.01,0.33,25.838352596451248,35.46,90.6005790873853,3.603
607,2017,7.792,0.634,53.3,0.738,0.038,0.75,0.704,0.422,12067516.0,0.03,0.01,0.29,25.675565684518965,35.793,89.2333390203881,4.874
608,2018,7.823,0.63,54.4,0.731,0.092,0.778,0.744,0.44,12414292.0,0.03,0.01,0.29,25.512778772586685,36.14,87.8858690568908,5.252
609,2019,7.849,0.655,55.5,0.691,0.097,0.756,0.685,0.473,12771246.0,0.03,0.01,0.29,25.3499918606544,36.5,86.5389561819362,4.768
610,2007,8.773,0.849,57.26,0.694,0.11,0.836,0.768,0.296,746477.0,3.38749,0.31052,2.00556,94.14850393700787,27.343,64.8827562443123,5.993
611,2006,7.407,0.694,48.46,0.449,0.401,0.854,0.613,0.332,9344784.0,3.33771,0.04564,0.11742,13.762264150943397,43.604,72.7401753949455,3.754
612,2008,7.417,0.679,40.38,0.465,0.261,0.812,0.608,0.256,9646570.0,3.31983,0.04686,0.11408,13.74579100145138,45.551,70.8071284301281,3.846
613,2010,7.384,0.554,32.3,0.373,0.216,0.848,0.555,0.293,9949318.0,2.15,0.01,0.11,13.72931785195936,47.509,68.7684841703834,3.766
